States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date,Season
Tamil Nadu,3170.0,2760.0,2687.5,5710.0,6320.0,6540.0,6720.0,5093.33,3694.0,,13504.25,,8808.25,,9917.5,8154.5,4500.0,,1500.0,2280.0,1760.0,1220.0,2018-08-02,1
Tamil Nadu,3400.0,3012.5,3110.0,6350.0,8425.0,8425.0,8275.0,5800.0,3502.5,,14969.75,,7594.75,,9575.0,6697.25,4291.75,,1645.0,1950.0,1925.0,2600.0,2019-08-02,1
Tamil Nadu,2500.0,2720.0,2527.5,9280.0,9900.0,12410.0,6710.0,6850.0,3908.0,,15236.0,,8401.6,,9067.0,7307.0,4816.0,,1540.0,2060.0,1140.0,620.0,2016-09-02,1
Tamil Nadu,3374.25,2775.0,2700.0,7475.0,6275.0,8275.0,6400.0,4800.0,4080.0,,14323.0,9600.0,8193.5,,8827.67,6648.0,5162.5,,1562.5,1550.0,2500.0,3025.0,2017-09-02,1
Tamil Nadu,3137.5,3037.5,2883.33,5775.0,6312.5,6500.0,6812.5,5230.0,3605.0,,13035.5,,8661.0,,9687.0,7468.5,4600.0,,1512.5,2250.0,1350.0,687.5,2018-09-02,1
Tamil Nadu,3300.0,2950.0,2872.5,6225.0,8475.0,8237.5,8375.0,5675.0,3612.5,,14640.0,,8050.75,,9791.75,7111.75,4575.0,,1650.0,1650.0,2425.0,1025.0,2019-09-02,1
Tamil Nadu,2655.0,2744.0,2527.5,10580.0,11060.0,11510.0,6960.0,6850.0,3890.0,,15078.6,,8511.6,,8999.2,7097.0,4692.0,,1540.0,1940.0,1280.0,1220.0,2016-10-02,1
Tamil Nadu,3266.67,2653.33,2280.0,7600.0,6462.5,8066.67,6562.5,5000.0,4125.0,,13809.33,,9065.33,,8864.33,6758.0,5100.0,,1483.33,1175.0,1933.33,925.0,2017-10-02,1
Tamil Nadu,3037.5,2850.0,2815.0,5892.5,6287.5,6587.5,6962.5,5287.5,3550.0,,13565.0,,8729.5,,9790.75,7546.75,4466.75,,1512.5,2275.0,1275.0,775.0,2018-10-02,1
Tamil Nadu,3864.29,3037.14,3262.86,6564.29,8628.57,8785.71,8421.43,5928.57,3657.14,,15071.17,12967.0,7821.14,,10103.43,7217.0,4585.71,,1485.71,1914.29,3800.0,2028.57,2019-10-02,1
